id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,id_vial,desc_clase,desc_nombre,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,cal_edificio
639,285006678,5,CHAMARTIN           ,502,PROSPERIDAD         ,11022324,1,448200,CALLE                   ,LUIS DE SALAZAR                                   ,NUM,5,28002,1,Puerta Calle,1,Abierto,40,,PB,,,,BAR,1,Anual,1,Abierta,54.72,37.72,10/07/2014,11022309,1,210200,CALLE                   ,CORAZON DE MARIA                                  ,NUM,61,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,1,1.0,19,13.0,68,44.0,  
42,40002970,4,SALAMANCA           ,403,FUENTE DEL BERRO    ,11016907,1,88998603,CALLE                   ,ALCALA                                            ,NUM,200,28028,1,Puerta Calle,1,Abierto,20,,PB,,,,VIPS,1,Anual,1,Abierta,14.89,14.89,07/04/2014,11016907,1,88998603,CALLE                   ,ALCALA                                            ,NUM,200, A,Acera,08:00:00,00:00:00,08:00:00,00:00:00,0,0.0,4,0.0,16,0.0, A
644,285007723,5,CHAMARTIN           ,506,CASTILLA            ,20103417,1,206800,CALLE                   ,CONDE DE TORRALBA                                 ,NUM,21,28046,1,Puerta Calle,4,Cerrado,20,,PB,,,,BAR HOGAR,1,Anual,1,Abierta,28.16,28.16,10/07/2014,20103417,1,206800,CALLE                   ,CONDE DE TORRALBA                                 ,NUM,21,  ,Plaza peatonal,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,7,7.0,28,28.0,  
56,170000773,17,VILLAVERDE          ,1704,LOS ROSALES         ,11126803,1,786850,CALLE                   ,VILLAJOYOSA                                       ,NUM,73,28041,1,Puerta Calle,1,Abierto,10,,PB,01,,,DONER KEBAB ARMENIA,2,Estacional,1,Abierta,12.96,,14/04/2014,11126803,1,786850,CALLE                   ,VILLAJOYOSA                                       ,NUM,73,  ,Acera,,,,,0,0.0,4,0.0,16,0.0,  
656,270525522,5,CHAMARTIN           ,504,HISPANOAMERICA      ,11025464,1,88998568,AVENIDA                 ,ALBERTO ALCOCER                                   ,NUM,32,28036,1,Puerta Calle,1,Abierto,60,,PB,C,,,JS JAVIER SANTAMARIA,2,Estacional,1,Abierta,17.6,,11/07/2014,11025464,1,88998568,AVENIDA                 ,ALBERTO ALCOCER                                   ,NUM,32,  ,Acera,,,,,0,,4,,16,,  
57,40001046,4,SALAMANCA           ,403,FUENTE DEL BERRO    ,11016908,1,88998603,CALLE                   ,ALCALA                                            ,NUM,204,28028,1,Puerta Calle,1,Abierto,20,,PB,,,,CAFETERIA CESAR LAS VENTAS,1,Anual,1,Abierta,18.05,18.05,14/04/2014,11016908,1,88998603,CALLE                   ,ALCALA                                            ,NUM,204,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,5,6.0,20,22.0,  
657,270411097,5,CHAMARTIN           ,505,NUEVA ESPAÑA        ,11025648,1,241800,CALLE                   ,DOCTOR FLEMING                                    ,NUM,31,28036,1,Puerta Calle,1,Abierto,30,,PB,L1,,,TROPIKAL LUXURY BUFFET,1,Anual,1,Abierta,26.34,26.34,11/07/2014,11025648,1,241800,CALLE                   ,DOCTOR FLEMING                                    ,NUM,31,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,10,10.0,24,24.0,  
60,180000598,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11130825,1,581100,CALLE                   ,PEÑA DE VARGAS                                    ,NUM,7,28031,1,Puerta Calle,1,Abierto,10,,PB,04,,,EL RINCON DEL TIO PEPE,1,Anual,1,Abierta,16.38,16.38,14/04/2014,11130825,1,581100,CALLE                   ,PEÑA DE VARGAS                                    ,NUM,7,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,11,11.0,24,24.0,  
658,270188958,20,SAN BLAS-CANILLEJAS ,2007,CANILLEJAS          ,11138381,1,111200,CALLE                   ,BOLTAÑA                                           ,NUM,118,28022,1,Puerta Calle,1,Abierto,10,,PB,A,,,COPAS,1,Anual,1,Abierta,16.2,16.2,11/07/2014,11138381,1,111200,CALLE                   ,BOLTAÑA                                           ,NUM,118,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,5,0.0,16,0.0,  
62,180000735,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,31005855,1,580300,CALLE                   ,PEÑA RIVERA                                       ,NUM,30,28031,1,Puerta Calle,1,Abierto,10,,PB,L3,,,BAR CANALEJAS,1,Anual,1,Abierta,14.5,14.5,14/04/2014,20072223,1,88997928,CALLE                   ,FUENTIDUEÑA                                       ,NUM,21,  ,Acera,08:00:00,00:00:00,08:00:00,00:00:00,0,0.0,5,0.0,18,0.0,  
659,270206136,20,SAN BLAS-CANILLEJAS ,2007,CANILLEJAS          ,11138444,1,88998603,CALLE                   ,ALCALA                                            ,NUM,592,28022,1,Puerta Calle,1,Abierto,20,,PB,03,,,CERVECERIA ECU CAFETERIA,2,Estacional,1,Abierta,36.4,,11/07/2014,11138444,1,88998603,CALLE                   ,ALCALA                                            ,NUM,592,  ,Acera,,,,,0,0.0,7,0.0,28,0.0,  
65,270445586,20,SAN BLAS-CANILLEJAS ,2004,ARCOS               ,11135581,1,346750,AVENIDA                 ,GUADALAJARA                                       ,NUM,35,28032,1,Puerta Calle,1,Abierto,30,,PB,C6,,,BURGOS CERVECERIA,1,Anual,1,Abierta,41.52,41.52,14/04/2014,11135581,1,346750,AVENIDA                 ,GUADALAJARA                                       ,NUM,35,  ,Acera,08:00:00,12:00:00,08:00:00,12:00:00,0,0.0,10,10.0,40,40.0,  
667,20000464,2,ARGANZUELA          ,206,PALOS DE LA FRONTERA,11009913,1,234700,PASEO                   ,DELICIAS                                          ,NUM,59,28045,1,Puerta Calle,1,Abierto,20,,PB,B,,,CERVECERIA LA CUCAÑA,1,Anual,1,Abierta,38.88,38.88,15/07/2014,20149803,1,119200,CALLE                   ,BUSTAMANTE                                        ,NUM,1,  ,Acera,00:00:00,00:00:00,00:00:00,00:00:00,0,0.0,12,0.0,48,0.0,  
69,270380946,4,SALAMANCA           ,401,RECOLETOS           ,11013848,1,88998603,CALLE                   ,ALCALA                                            ,NUM,89,28009,1,Puerta Calle,1,Abierto,10,,SO,DR,,,EL ARBOL Y LA TOSTA,1,Anual,1,Abierta,5.04,5.04,15/04/2014,11013848,1,88998603,CALLE                   ,ALCALA                                            ,NUM,89,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,3,3.0,6,6.0,  
689,200000350,20,SAN BLAS-CANILLEJAS ,2005,ROSAS               ,11136336,1,88998051,AVENIDA                 ,NIZA                                              ,NUM,51,28022,1,Puerta Calle,1,Abierto,30,,PB,03,,,BAR  CASA CELEIRO,1,Anual,1,Abierta,17.04,17.04,22/07/2014,11136336,1,88998051,AVENIDA                 ,NIZA                                              ,NUM,51,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,6,6.0,18,18.0,  
73,280060978,18,VILLA DE VALLECAS   ,1803,ENSANCHE DE VALLECAS,31035268,1,31000474,AVENIDA                 ,ENSANCHE DE VALLECAS                              ,NUM,44,28051,1,Puerta Calle,1,Abierto,20,,PB,02,,,RESTAURANTE 40 & CUATRO,1,Anual,1,Abierta,97.2,97.2,24/04/2014,31033784,1,31000519,CALLE                   ,ENTREPEÑAS                                        ,NUM,49,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,30,30.0,120,120.0,  
691,270403737,13,PUENTE DE VALLECAS  ,1306,NUMANCIA            ,11099382,1,720400,CALLE                   ,SIERRA TOLEDANA                                   ,NUM,4,28038,1,Puerta Calle,1,Abierto,10,,PB,LA,,,RESTART CAFE,1,Anual,1,Abierta,45.0,18.0,22/07/2014,11099382,1,720400,CALLE                   ,SIERRA TOLEDANA                                   ,NUM,4,  ,Otros,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,20,8.0,80,32.0,  
74,270202022,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11130120,1,716700,CALLE                   ,SIERRA GORDA                                      ,NUM,25,28031,1,Puerta Calle,1,Abierto,10,,PB,A,,,BAR-RESTAURANTE FRANVA,1,Anual,1,Abierta,104.6,60.6,24/04/2014,31054352,1,716700,CALLE                   ,SIERRA GORDA                                      ,NUM,25, B,Calle peatonal,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,30,19.0,114,70.0,  
697,270165770,14,MORATALAZ           ,1404,MEDIA LEGUA         ,11102105,1,790100,CALLE                   ,CAMINO DE LOS VINATEROS                           ,NUM,12,28030,1,Puerta Calle,1,Abierto,30,,PB,02,,,EL AZOGUEJO,1,Anual,1,Abierta,91.0,91.0,23/07/2014,11102105,1,790100,CALLE                   ,CAMINO DE LOS VINATEROS                           ,NUM,12,  ,Otros,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,18,18.0,72,72.0,  
34,270078567,4,SALAMANCA           ,404,GUINDALERA          ,11018555,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,25,28028,1,Puerta Calle,1,Abierto,10,,PB,04,,,BAR MARISQUERIA LUIS,1,Anual,1,Abierta,11.16,11.16,04/04/2014,11018555,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,25,  ,Calle peatonal,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,4,0.0,14,0.0,  
898,20000440,2,ARGANZUELA          ,203,CHOPERA             ,11008898,1,262000,CALLE                   ,EMBAJADORES                                       ,NUM,134,28045,1,Puerta Calle,1,Abierto,30,,PB,02,,,CASA MAXI,2,Estacional,1,Abierta,49.08,,04/09/2014,20007540,1,388900,CALLE                   ,JAIME EL CONQUISTADOR                             ,NUM,1,  ,Acera,,,,,0,0.0,10,0.0,40,0.0,  
37,270184111,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11129905,1,2872,CALLE                   ,SIERRA GADOR                                      ,NUM,41,28031,1,Puerta Calle,1,Abierto,10,,PB,01,,,LOS MANCHEGOS,1,Anual,1,Abierta,26.2,26.2,07/04/2014,11129905,1,2872,CALLE                   ,SIERRA GADOR                                      ,NUM,41,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,8,8.0,32,32.0,  
902,285005601,2,ARGANZUELA          ,204,LEGAZPI             ,31011886,1,31000400,CALLE                   ,NEREIDA                                           ,NUM,2,28045,1,Puerta Calle,1,Abierto,10,01,PB,01,,,RESTAURANTE EL TRILLO,1,Anual,1,Abierta,151.2,95.58,04/09/2014,31011886,1,31000400,CALLE                   ,NEREIDA                                           ,NUM,2,  ,Bulevar,10:00:00,00:00:00,10:00:00,00:00:00,1,0.0,55,34.0,156,94.0,  
44,40001459,4,SALAMANCA           ,404,GUINDALERA          ,11018130,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,32,28028,1,Puerta Calle,1,Abierto,10,,PB,,,,HOTEL ABBA MADRID,2,Estacional,1,Abierta,19.44,,07/04/2014,11018130,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,32,  ,Acera,,,,,0,0.0,6,0.0,24,0.0,  
904,20000486,2,ARGANZUELA          ,206,PALOS DE LA FRONTERA,11010081,1,443700,PLAZA                   ,LUCA DE TENA                                      ,NUM,10,28045,1,Puerta Calle,1,Abierto,10,,PB,CN,,,BAR CERVECERIA TAPALOCA,2,Estacional,1,Abierta,32.4,,05/09/2014,11010081,1,443700,PLAZA                   ,LUCA DE TENA                                      ,NUM,10,  ,Plaza peatonal,,,,,0,0.0,10,0.0,40,0.0,  
50,180000457,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,20150818,1,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,NUM,5,28031,1,Puerta Calle,1,Abierto,10,,PB,01,,,LA CHOZA DE DAVID,1,Anual,1,Abierta,86.09,86.09,10/04/2014,20150818,1,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,NUM,5,  ,Plaza peatonal,08:00:00,00:00:00,08:00:00,00:00:00,0,0.0,27,21.0,92,68.0,  
